,forecast_temp_anomaly
2024-02-29,1.193701249049502
2024-03-31,1.2073663285670968
2024-04-30,1.2196890779223615
2024-05-31,1.2307827089267558
2024-06-30,1.2407508844617223
2024-07-31,1.249688526413058
2024-08-31,1.2576825493287818
2024-09-30,1.2648125374765256
2024-10-31,1.271151364320594
2024-11-30,1.2767657560404209
2024-12-31,1.2817168106522787
2025-01-31,1.286060475367848
